year,current_gdp,real_gdp,gdp_deflator,gdp_deflator_2010/11,rebased_real_gdp
1975,1660.1,14307.96,0.1,0.047496165,34952.29554
1976,1739.4,14804.2,0.1,0.048096839,36164.53874
1977,1728,14953.77,0.1,0.047303694,36529.91681
1978,1972.7,15421.48,0.1,0.052364505,37672.4653
1979,2612.8,15750,0.2,0.067909045,38474.99258
1980,2335.1,15513.12,0.2,0.061618106,37896.32869
1981,2553,17069.27,0.1,0.061226281,41697.7801
1982,3098.8,17822.27,0.2,0.07117583,43537.25117
1983,3382.1,17894.89,0.2,0.077367653,43714.65142
1984,3929,19469.2,0.2,0.08261063,47560.46511
1985,4658.7,20517.01,0.2,0.092950705,50120.11476
1986,5573.4,21453.77,0.3,0.106345375,52408.48518
1987,6386.4,21818.43,0.3,0.119821467,53299.29729
1988,7690.6,23497.72,0.3,0.133978932,57401.56207
1989,8927,24514.63,0.4,0.149067238,59885.72745
1990,10341.6,25650.89,0.4,0.165039276,62661.44777
1991,12037,27283.94,0.4,0.180598105,66650.75486
1992,14948.7,28404.78,0.5,0.215433883,69388.80633
1993,17149.2,29497.44,0.6,0.237991558,72058.0181
1994,19927.2,31921.91,0.6,0.255540314,77980.65082
1995,21917.5,33029.1,0.7,0.271641606,80685.35729
1996,24891.3,34792.07,0.7,0.292866248,84992.04032
1997,28051.3,36622.47,0.8,0.313550411,89463.44517
1998,30084.5,37699.93,0.8,0.32666625,92095.52552
1999,34203.6,39390.29,0.9,0.355455022,96224.83272
2000,37948.8,41799.21,0.9,0.37164816,102109.479
2001,44151.9,44151.85,1.0,0.409357268,107856.6413
2002,45944.3,44204.9,1.0,0.425464413,107986.2349
2003,49223.1,45948.83,1.1,0.438527181,112246.4059
2004,53674.9,48100.43,1.1,0.45679811,117502.4563
2005,58941.2,49773.9,1.2,0.484751672,121590.5037
2006,65408.4,51448.56,1.3,0.52042999,125681.458
2007,72782.7,53203.82,1.4,0.55999914,129969.3066
2008,81565.8,56451.69,1.4,0.591470605,137903.3875
2009,98827.2,59010.72,1.7,0.685563348,144154.7311
2010,119277.4,61852.91,1.9,0.789405305,151097.7939
2011,156268.1,63969.41,2.4,1,156268.1
2012,175837.92,163204.05,1.1,0.441045728,163204.05
2013,194929.48,168957.24,1.2,0.472283454,168957.24
2014,223252.53,179114.08,1.2,0.510233155,179114.08
2015,242363.85,186235.75,1.3,0.53272957,186235.75
2016,260818.44,187042.36,1.4,0.570821514,187042.36
2017,307714.49,203833.67,1.5,0.617979455,203833.67
2018,345594.93,219370.64,1.6,0.644897768,219370.64
2019,385893.04,233974.27,1.6,0.675150911,233974.27
2020,388870.37,228429.97,1.7,0.696873234,228429.97
2021,435255.02,239481.75,1.8,0.74400076,239481.75
2022,497655.8,252967.7,2.0,0.805315413,252967.7
2023,534852.8,257907,2.1,0.848932495,257907
2024,570484,267884,2.1,0.871763551,267884
2025,610722.08,279757,2.2,0.893644266,279757
