year,revenue,recurrent_exp,capital_exp,outstanding_debt,outstanding_dom_debt,outstanding_foreign_debt
2025,117882,98038,22268,266965,126822,140142
2024,105890,95241.5,19171.8,243323.9,118090.2,125233.8
2023,95715.37,99150.67,23462.48,229543.69,112518.82,117024.87
2022,106634.65,95431.68,21621.31,201329.64,98744.93,102584.71
2021,93588.79,84621.73,22883.61,173763.69,80294.17,93469.52
2020,79374.66,78429.14,18914.01,143340.25,61373.54,81966.71
2019,82963.4,71641.76,24156.25,104815.67,45323.05,59492.62
2018,72671.73,69691.96,27071.37,91731.56,39116.15,52615.41
2017,60918,51861.61,20874.83,69768.94,28371.06,41397.88
2016,48275.02,37098.68,12235.04,62779.18,23902.9,38876.28
2015,40584.64,33927.8,8875.47,54491.86,20165.68,34326.18
2014,35684,30353,6669.4,55350.77,20668.86,34681.9
2013,29664.2,24745.5,5459.8,55378.87,22034.72,33344.15
2012,24437.3,24346,5139.1,52327.84,21399.13,30928.71
2011,19837.59,21016.8,4732.8,44375.75,18420.57,25955.18
2010,17799.09,15101.91,9023.77,40430.3,14805.97,25624.33
2009,14347.45,12773.89,7308.9,40271.45,12567.41,27704.04
2008,10762.25,9144.69,5351.61,36600.49,11603.95,24996.54
2007,8771.21,7712.24,3972.99,32040.49,10377.6,21662.89
2006,7228.19,6701.78,2960.66,32867.94,9471.08,23396.86
2005,7012.27,6168.64,2734.07,30720.61,8756.42,21964.19
2004,6233.1,5555.21,2309.56,31891.3,8613.37,23277.93
2003,5453.89,5209.05,2235.61,30807.85,8464.53,22343.32
2002,5044.66,4886.39,2477.24,28016.93,6004.37,22012.56
2001,4889.38,4583.73,2830.72,25590.76,5435.7,20155.06
2000,4289.37,3557.91,2548.07,24036.08,4966.96,19069.12
1999,3725.13,3194.42,2299.21,20787.26,3840.67,16946.59
1998,3293.79,2717.44,2894.39,19709.89,3589.09,16120.8
1997,3037.35,2418.11,2654.26,16632.87,3424.19,13208.68
1996,2789.31,2156.19,2498.05,16010.22,3205.78,12804.44
1995,2460.51,1926.5,1979.5,14363.21,3063.12,11300.09
1994,1958.09,1240.9,2118.8,12742.29,2545.61,10196.68
1993,1514.84,1148.4,1941.4,11065.57,2323.49,8742.08
1992,1351.27,990.5,1651.3,9177.98,2085.59,7092.39
1991,1072.95,757,1598,7417.84,1467.31,5950.53
1990,931.28,667.2,1299.7,4968.88,1288.79,3680.09
1989,778.07,567.6,1232.9,4085.29,1163.6,2921.69
1988,735.04,467.7,942.8,2982.34,899.74,2082.6
1987,597.34,413.52,737.8,2236.21,719.02,1517.19
1986,464.45,358.4,621.31,1636.18,603.16,1033.02
1985,391.68,290.61,548.87,1354.03,433.71,920.32
1984,340.93,227.35,516.38,919.92,287.81,632.11
1983,284.66,199.71,498.21,661.76,190,471.76
1982,267.95,163.44,372.69,462.16,144.38,317.78
1981,241.92,136.12,273.11,395.41,150.28,245.13
1980,189,116.21,230.86,320.24,139.51,180.73
1979,181.17,104.17,197.88,254.55,122.46,132.09
1978,158.21,86.69,180.6,198.61,101.38,97.23
1977,132.29,83.21,149.83,137.2,74.26,62.94
1976,111.36,67.45,123.88,108.2,60.48,47.72
1975,100.84,54.65,96.72,82.25,47.64,34.61
